teensy_ms,esp_ms,sensor,temperature,humidity,pressure,gas
18126,143534,ENV,24.22,56.74,0.00,0.00
19126,144534,ENV,24.19,56.73,0.00,0.00
20126,145534,ENV,24.17,56.73,0.00,0.00
21126,146534,ENV,24.15,56.68,0.00,0.00
22126,147534,ENV,24.15,56.70,0.00,0.00
23126,148534,ENV,24.12,56.70,0.00,0.00
24126,149534,ENV,24.09,56.71,0.00,0.00
25126,150534,ENV,24.07,56.72,0.00,0.00
26126,151534,ENV,24.06,56.76,0.00,0.00
27126,152534,ENV,24.04,56.79,0.00,0.00
28126,153534,ENV,24.02,56.84,0.00,0.00
29126,154534,ENV,24.01,56.84,0.00,0.00
30126,155534,ENV,23.99,56.84,0.00,0.00
31126,156534,ENV,23.99,56.84,0.00,0.00
32126,157534,ENV,23.96,56.85,0.00,0.00
33126,158534,ENV,23.95,56.87,0.00,0.00
34126,159534,ENV,23.94,56.91,0.00,0.00
35126,160534,ENV,23.92,56.93,0.00,0.00
36126,161534,ENV,23.90,56.94,0.00,0.00
37125,162534,ENV,23.89,56.99,0.00,0.00
38125,163534,ENV,23.86,57.00,0.00,0.00
39125,164534,ENV,23.85,57.04,0.00,0.00
40125,165534,ENV,23.84,57.08,0.00,0.00
41125,166534,ENV,23.82,57.09,0.00,0.00
42125,167534,ENV,23.82,57.13,0.00,0.00
43125,168534,ENV,23.79,57.16,0.00,0.00
44125,169534,ENV,23.78,57.19,0.00,0.00
45125,170534,ENV,23.76,57.20,0.00,0.00
46125,171534,ENV,23.76,57.22,0.00,0.00
47125,172534,ENV,23.74,57.28,0.00,0.00
48125,173534,ENV,23.72,57.33,0.00,0.00
49125,174534,ENV,23.72,57.34,0.00,0.00
50125,175534,ENV,23.70,57.36,0.00,0.00
51125,176534,ENV,23.69,57.35,0.00,0.00
52125,177534,ENV,23.68,57.39,0.00,0.00
53125,178534,ENV,23.67,57.36,0.00,0.00
54125,179534,ENV,23.65,57.40,0.00,0.00
55125,180534,ENV,23.62,57.43,0.00,0.00
56125,181534,ENV,23.62,57.51,0.00,0.00
57125,182534,ENV,23.61,57.54,0.00,0.00
58125,183534,ENV,23.59,57.60,0.00,0.00
59125,184534,ENV,23.57,57.69,0.00,0.00
60125,185534,ENV,23.56,57.75,0.00,0.00
61125,186534,ENV,23.55,57.83,0.00,0.00
62125,187534,ENV,23.54,57.87,0.00,0.00
63125,188534,ENV,23.54,57.92,0.00,0.00
64125,189534,ENV,23.51,58.01,0.00,0.00
65125,190534,ENV,23.50,58.06,0.00,0.00
66125,191534,ENV,23.49,58.06,0.00,0.00
67125,192534,ENV,23.47,58.12,0.00,0.00
68125,193534,ENV,23.46,58.13,0.00,0.00
69125,194534,ENV,23.46,58.19,0.00,0.00
70125,195534,ENV,23.42,58.22,0.00,0.00
71125,196534,ENV,23.43,58.29,0.00,0.00
72125,197534,ENV,23.41,58.34,0.00,0.00
73125,198534,ENV,23.39,58.36,0.00,0.00
74125,199534,ENV,23.38,58.40,0.00,0.00
75125,200534,ENV,23.39,58.44,0.00,0.00
76125,201534,ENV,23.36,58.44,0.00,0.00
77125,202534,ENV,23.35,58.46,0.00,0.00
78125,203534,ENV,23.36,58.45,0.00,0.00
79125,204534,ENV,23.34,58.45,0.00,0.00
80125,205534,ENV,23.32,58.46,0.00,0.00
81125,206534,ENV,23.30,58.48,0.00,0.00
82125,207534,ENV,23.30,58.49,0.00,0.00
83125,208534,ENV,23.29,58.51,0.00,0.00
84125,209534,ENV,23.29,58.49,0.00,0.00
85125,210534,ENV,23.28,58.53,0.00,0.00
86125,211534,ENV,23.27,58.51,0.00,0.00
87125,212534,ENV,23.26,58.50,0.00,0.00
88125,213534,ENV,23.26,58.52,0.00,0.00
89125,214534,ENV,23.24,58.51,0.00,0.00
90125,215534,ENV,23.23,58.49,0.00,0.00
91125,216534,ENV,23.22,58.49,0.00,0.00
92124,217534,ENV,23.20,58.55,0.00,0.00
93124,218534,ENV,23.20,58.54,0.00,0.00
94124,219534,ENV,23.19,58.66,0.00,0.00
95124,220534,ENV,23.17,58.64,0.00,0.00
96124,221534,ENV,23.16,58.66,0.00,0.00
97124,222534,ENV,23.16,58.66,0.00,0.00
98124,223534,ENV,23.16,58.73,0.00,0.00
99124,224534,ENV,23.15,58.79,0.00,0.00
100124,225534,ENV,23.13,58.83,0.00,0.00
101124,226534,ENV,23.13,58.89,0.00,0.00
102124,227534,ENV,23.11,58.95,0.00,0.00
103124,228534,ENV,23.11,59.01,0.00,0.00
104124,229534,ENV,23.10,59.04,0.00,0.00
105124,230534,ENV,23.10,59.07,0.00,0.00
106124,231534,ENV,23.08,59.12,0.00,0.00
107124,232534,ENV,23.09,59.11,0.00,0.00
108124,233534,ENV,23.07,59.15,0.00,0.00
109124,234534,ENV,23.06,59.18,0.00,0.00
110124,235534,ENV,23.05,59.34,0.00,0.00
111124,236534,ENV,23.05,59.34,0.00,0.00
112124,237534,ENV,23.03,59.32,0.00,0.00
113124,238534,ENV,23.02,59.31,0.00,0.00
114124,239534,ENV,23.02,59.31,0.00,0.00
115124,240534,ENV,23.01,59.33,0.00,0.00
116124,241534,ENV,22.99,59.30,0.00,0.00
117124,242534,ENV,22.99,59.29,0.00,0.00
118124,243534,ENV,22.98,59.29,0.00,0.00
119124,244534,ENV,22.98,59.30,0.00,0.00
120124,245534,ENV,22.97,59.31,0.00,0.00
121124,246534,ENV,22.97,59.29,0.00,0.00
122124,247534,ENV,22.97,59.27,0.00,0.00
123124,248534,ENV,22.96,59.27,0.00,0.00
124124,249534,ENV,22.93,59.27,0.00,0.00
125124,250534,ENV,22.94,59.32,0.00,0.00
126124,251534,ENV,22.94,59.37,0.00,0.00
127124,252534,ENV,22.91,59.45,0.00,0.00
128124,253534,ENV,22.92,59.49,0.00,0.00
129124,254534,ENV,22.92,59.53,0.00,0.00
130124,255534,ENV,22.91,59.51,0.00,0.00
131124,256534,ENV,22.92,59.54,0.00,0.00
132124,257534,ENV,22.90,59.58,0.00,0.00
133124,258534,ENV,22.90,59.62,0.00,0.00
134124,259534,ENV,22.88,59.66,0.00,0.00
135124,260534,ENV,22.87,59.66,0.00,0.00
136124,261534,ENV,22.86,59.71,0.00,0.00
137124,262534,ENV,22.86,59.71,0.00,0.00
138124,263534,ENV,22.85,59.72,0.00,0.00
139124,264534,ENV,22.85,59.75,0.00,0.00
140124,265534,ENV,22.85,59.76,0.00,0.00
141124,266534,ENV,22.82,59.82,0.00,0.00
142124,267534,ENV,22.83,59.85,0.00,0.00
143124,268534,ENV,22.82,59.85,0.00,0.00
144124,269534,ENV,22.82,59.85,0.00,0.00
145124,270534,ENV,22.81,59.89,0.00,0.00
146123,271534,ENV,22.79,59.91,0.00,0.00
147123,272534,ENV,22.79,59.98,0.00,0.00
148123,273534,ENV,22.79,60.04,0.00,0.00
149123,274534,ENV,22.78,60.07,0.00,0.00
150123,275534,ENV,22.78,60.09,0.00,0.00
151123,276534,ENV,22.78,60.12,0.00,0.00
152123,277534,ENV,22.78,60.14,0.00,0.00
153123,278534,ENV,22.76,60.12,0.00,0.00
154123,279534,ENV,22.76,60.11,0.00,0.00
155123,280534,ENV,22.74,60.12,0.00,0.00
156123,281534,ENV,22.74,60.12,0.00,0.00
157123,282534,ENV,22.73,60.09,0.00,0.00
158123,283534,ENV,22.74,60.09,0.00,0.00
159123,284534,ENV,22.74,60.03,0.00,0.00
160123,285534,ENV,22.72,60.03,0.00,0.00
161123,286534,ENV,22.72,60.07,0.00,0.00
162123,287534,ENV,22.70,60.10,0.00,0.00
163123,288534,ENV,22.70,60.10,0.00,0.00
164123,289534,ENV,22.70,60.10,0.00,0.00
165123,290534,ENV,22.69,60.12,0.00,0.00
166123,291534,ENV,22.71,60.10,0.00,0.00
167123,292534,ENV,22.68,60.13,0.00,0.00
168123,293534,ENV,22.69,60.11,0.00,0.00
169123,294534,ENV,22.69,60.13,0.00,0.00
170123,295534,ENV,22.68,60.14,0.00,0.00
171123,296534,ENV,22.68,60.15,0.00,0.00
172123,297534,ENV,22.66,60.17,0.00,0.00
